,brand_name,price,avg_rating,5G_or_not,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,ram_capacity,internal_memory,screen_size,refresh_rate,num_rear_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width,cluster_label
internal_memory,-0.2036511962188615,0.5571676328262639,0.40505972758747394,0.4038373960499589,0.0438841218355379,0.4764742177847059,-0.0014311865576856037,0.2798769418593788,0.2971027127877787,0.5923321988401696,1.0,0.27640126039130203,0.3802626883638679,0.23660925694395496,-0.20678884107749404,0.20065615033546388,0.2533954778041414,-0.39790284101697787,0.4272176911696854,0.34170948399641066,-0.37034371651615916
screen_size,0.1571543598840473,0.11325258703096805,0.19361677014792605,0.23059828816768244,0.3824195398771895,0.28616732184014204,0.3358608738410195,0.34668663176922815,0.32645128155027126,0.39661273198981944,0.27640126039130203,1.0,0.3334114555098684,0.37176914226159813,0.2735844203852205,0.3292883101445883,0.20876294947972585,-0.09487789212345216,0.2959255530775531,0.33409942740160053,-0.11905869135197247
refresh_rate,-0.048624798515697266,0.24411470230526902,0.5708240234646312,0.6117943368297999,0.23220050135760087,0.5409687270162754,0.088026923664512,0.41527831398975024,0.6057377000587435,0.5739773539645022,0.3802626883638679,0.3334114555098684,1.0,0.2933814401700493,0.09051120699814288,0.46828428295480384,0.40048087820295813,-0.4458774505433907,0.4819368438138847,0.29468802484976614,-0.38103673272848326
num_rear_cameras,0.10427137816839845,0.12533004007475684,0.45434148806486024,0.20651164289922702,0.3421413055000567,0.25084047158807665,0.15399065387809172,0.4709523716329482,0.3091919983576797,0.384908457211887,0.23660925694395496,0.37176914226159813,0.2933814401700493,1.0,0.15160399835444077,0.45500966057420367,0.4047812517352829,-0.05510996380527646,0.4655467800837248,0.3428340764612525,0.0845701843131718
os,0.40607820812172984,-0.2765560913820939,0.048573516347526983,-0.12405458192983916,0.36511177755173363,-0.16103665292005082,0.1830657625822178,0.0956520091231354,0.2096440382891666,0.10700685201992817,-0.20678884107749404,0.2735844203852205,0.09051120699814288,0.15160399835444077,1.0,0.1923764614188994,0.09793700542619527,0.2576964600436397,-0.06310834906063188,-0.020123917080553177,0.14954662657809134
primary_camera_rear,0.11984988357627135,0.09209547872578563,0.4703764868994012,0.3479177123359802,0.31147503387021835,0.27531500317587554,0.17026782057077008,0.42744042698490436,0.5227570670804673,0.4313766820421156,0.20065615033546388,0.3292883101445883,0.46828428295480384,0.45500966057420367,0.1923764614188994,1.0,0.4770657445231462,-0.13615238159231438,0.39487067662383246,0.25772803840846453,-0.0636871509802391
primary_camera_front,0.05476533235361034,0.1602617342201603,0.5157459522941106,0.35793475010852543,0.21884352973484053,0.38567686460801953,-0.0049746928349575425,0.3307333376551357,0.46025594376454787,0.5170461041106312,0.2533954778041414,0.20876294947972585,0.40048087820295813,0.4047812517352829,0.09793700542619527,0.4770657445231462,1.0,-0.3272574578235833,0.4135647547780078,0.2577563940549759,-0.24843191028092587
extended_memory_available,0.2697710961061861,-0.44862822666505453,-0.3887665248630981,-0.5077516074766543,0.07259230484361527,-0.644888409460775,0.17298246736893588,-0.16662576634561482,-0.4627966538269811,-0.4826657860235817,-0.39790284101697787,-0.09487789212345216,-0.4458774505433907,-0.05510996380527646,0.2576964600436397,-0.13615238159231438,-0.3272574578235833,1.0,-0.35378451935039,-0.24924960363813187,0.7532377888166619
resolution_height,-0.06569242137241295,0.353578493484435,0.5773155726441008,0.504364531684919,0.2661085470538409,0.5442785385128251,0.03637510100964442,0.5101123138185523,0.41934835971813056,0.5781045982431955,0.4272176911696854,0.2959255530775531,0.4819368438138847,0.4655467800837248,-0.06310834906063188,0.39487067662383246,0.4135647547780078,-0.35378451935039,1.0,0.26551941420191644,-0.16007160525576064
resolution_width,-0.05247587716525385,0.34059183949572447,0.37645018667716795,0.3018283023796303,0.13784899943221085,0.3585012547094553,-0.024567260073421214,0.318719586179913,0.28562796196768653,0.3802737325755299,0.34170948399641066,0.33409942740160053,0.29468802484976614,0.3428340764612525,-0.020123917080553177,0.25772803840846453,0.2577563940549759,-0.24924960363813187,0.26551941420191644,1.0,-0.13848966157866097
cluster_label,0.19042645143881118,-0.4183521032020386,-0.23534047186264162,-0.4042386837343603,0.09583268804375435,-0.5845847736472671,0.16392323580700588,0.04751534373451955,-0.4299672784218209,-0.40190545216371887,-0.37034371651615916,-0.11905869135197247,-0.38103673272848326,0.0845701843131718,0.14954662657809134,-0.0636871509802391,-0.24843191028092587,0.7532377888166619,-0.16007160525576064,-0.13848966157866097,1.0
